FastApi

---------- coverage: platform linux, python 3.8.10-final-0 -----------
Name                                                                                      Stmts   Miss  Cover
docs_src/query_params_str_validations/tutorial014.py                                          8      0   100%
docs_src/query_params_str_validations/tutorial014_an.py                                       9      0   100%
docs_src/request_files/tutorial001.py                                                         8      0   100%
docs_src/request_files/tutorial001_02.py                                                     13      0   100%
docs_src/request_files/tutorial001_02_an.py                                                  14      0   100%
docs_src/request_files/tutorial001_03.py                                                      8      0   100%
docs_src/request_files/tutorial001_03_an.py                                                   9      0   100%
docs_src/request_files/tutorial001_an.py                                                      9      0   100%
docs_src/request_files/tutorial002.py                                                        14      0   100%
docs_src/request_files/tutorial002_an.py                                                     15      0   100%
docs_src/request_files/tutorial003.py                                                        14      0   100%
docs_src/request_files/tutorial003_an.py                                                     15      0   100%
docs_src/request_forms/tutorial001.py                                                         5      0   100%
docs_src/request_forms/tutorial001_an.py                                                      6      0   100%
docs_src/request_forms_and_files/tutorial001.py                                               5      0   100%
docs_src/request_forms_and_files/tutorial001_an.py                                            6      0   100%
docs_src/response_change_status_code/tutorial001.py                                           9      0   100%
docs_src/response_cookies/tutorial001.py                                                      9      0   100%
docs_src/response_cookies/tutorial002.py                                                      6      0   100%
docs_src/response_headers/tutorial001.py                                                      8      0   100%
docs_src/response_headers/tutorial002.py                                                      6      0   100%
docs_src/response_model/tutorial003.py                                                       16      0   100%
docs_src/response_model/tutorial003_01.py                                                    13      0   100%
docs_src/response_model/tutorial003_02.py                                                     8      0   100%
docs_src/response_model/tutorial003_03.py                                                     6      0   100%
docs_src/response_model/tutorial003_05.py                                                     9      0   100%
docs_src/response_model/tutorial004.py                                                       14      0   100%
docs_src/response_model/tutorial005.py                                                       16      0   100%
docs_src/response_model/tutorial006.py                                                       16      0   100%
docs_src/schema_extra_example/tutorial001.py                                                 14      0   100%
docs_src/schema_extra_example/tutorial004.py                                                 13      0   100%
docs_src/schema_extra_example/tutorial004_an.py                                              14      0   100%
docs_src/schema_extra_example/tutorial005.py                                                 13      0   100%
docs_src/schema_extra_example/tutorial005_an.py                                              14      0   100%
docs_src/security/tutorial001.py                                                              7      0   100%
docs_src/security/tutorial001_an.py                                                           8      0   100%
docs_src/security/tutorial003.py                                                             45      0   100%
docs_src/security/tutorial003_an.py                                                          46      0   100%
docs_src/security/tutorial005.py                                                             93      0   100%
docs_src/security/tutorial005_an.py                                                          94      0   100%
docs_src/security/tutorial006.py                                                              7      0   100%
docs_src/security/tutorial006_an.py                                                           8      0   100%
docs_src/separate_openapi_schemas/tutorial001.py                                             13      0   100%
docs_src/separate_openapi_schemas/tutorial002.py                                             13      0   100%
docs_src/settings/app02/__init__.py                                                           0      0   100%
docs_src/settings/app02/config.py                                                             5      0   100%
docs_src/settings/app02/main.py                                                              10      0   100%
docs_src/settings/app02/test_main.py                                                         11      0   100%
docs_src/settings/tutorial001.py                                                             11      0   100%
docs_src/sql_databases/__init__.py                                                            0      0   100%
docs_src/sql_databases/sql_app/__init__.py                                                    0      0   100%
docs_src/sql_databases/sql_app/alt_main.py                                                   40     40     0%
docs_src/sql_databases/sql_app/crud.py                                                       23     23     0%
docs_src/sql_databases/sql_app/database.py                                                    7      7     0%
docs_src/sql_databases/sql_app/main.py                                                       35     35     0%
docs_src/sql_databases/sql_app/models.py                                                     17     17     0%
docs_src/sql_databases/sql_app/schemas.py                                                    22     22     0%
docs_src/sql_databases/sql_app/tests/__init__.py                                              0      0   100%
docs_src/sql_databases/sql_app/tests/test_sql_app.py                                         29     29     0%
docs_src/sql_databases/sql_app_py39/__init__.py                                               0      0   100%
docs_src/sql_databases/sql_app_py39/alt_main.py                                              39     39     0%
docs_src/sql_databases/sql_app_py39/crud.py                                                  23     23     0%
docs_src/sql_databases/sql_app_py39/database.py                                               7      7     0%
docs_src/sql_databases/sql_app_py39/main.py                                                  34     34     0%
docs_src/sql_databases/sql_app_py39/models.py                                                17     17     0%
docs_src/sql_databases/sql_app_py39/schemas.py                                               22     22     0%
docs_src/sql_databases/sql_app_py39/tests/__init__.py                                         0      0   100%
docs_src/sql_databases/sql_app_py39/tests/test_sql_app.py                                    28     28     0%
docs_src/sql_databases/sql_app_py310/__init__.py                                              0      0   100%
docs_src/sql_databases/sql_app_py310/alt_main.py                                             39     39     0%
docs_src/sql_databases/sql_app_py310/crud.py                                                 23     23     0%
docs_src/sql_databases/sql_app_py310/database.py                                              7      7     0%
docs_src/sql_databases/sql_app_py310/main.py                                                 34     34     0%
docs_src/sql_databases/sql_app_py310/models.py                                               17     17     0%
docs_src/sql_databases/sql_app_py310/schemas.py                                              21     21     0%
docs_src/sql_databases/sql_app_py310/tests/__init__.py                                        0      0   100%
docs_src/sql_databases/sql_app_py310/tests/test_sql_app.py                                   28     28     0%
docs_src/sub_applications/tutorial001.py                                                     10      0   100%
docs_src/templates/tutorial001.py                                                            10      0   100%
docs_src/websockets/__init__.py                                                               0      0   100%
docs_src/websockets/tutorial001.py                                                           12      0   100%
docs_src/websockets/tutorial002.py                                                           20      0   100%
docs_src/websockets/tutorial002_an.py                                                        21      0   100%
docs_src/websockets/tutorial002_an_py39.py                                                   20     20     0%
docs_src/websockets/tutorial002_an_py310.py                                                  20     20     0%
docs_src/websockets/tutorial002_py310.py                                                     19     19     0%
docs_src/websockets/tutorial003.py                                                           32      0   100%
docs_src/websockets/tutorial003_py39.py                                                      31     31     0%
docs_src/wsgi/tutorial001.py                                                                 14      0   100%
fastapi/__init__.py                                                                          21      0   100%
fastapi/_compat.py                                                                          300    105    65%
fastapi/applications.py                                                                     152      0   100%
fastapi/background.py                                                                         7      0   100%
fastapi/concurrency.py                                                                       18      0   100%
fastapi/datastructures.py                                                                    57      5    91%
fastapi/dependencies/__init__.py                                                              0      0   100%
fastapi/dependencies/models.py                                                               28      0   100%
fastapi/dependencies/utils.py                                                               408      3    99%
fastapi/encoders.py                                                                          98     10    90%
fastapi/exception_handlers.py                                                                17      0   100%
fastapi/exceptions.py                                                                        34      0   100%
fastapi/logger.py                                                                             2      0   100%
fastapi/middleware/__init__.py                                                                1      0   100%
fastapi/middleware/cors.py                                                                    1      0   100%
fastapi/middleware/gzip.py                                                                    1      0   100%
fastapi/middleware/httpsredirect.py                                                           1      0   100%
fastapi/middleware/trustedhost.py                                                             1      0   100%
fastapi/middleware/wsgi.py                                                                    1      0   100%
fastapi/openapi/__init__.py                                                                   0      0   100%
fastapi/openapi/constants.py                                                                  3      0   100%
fastapi/openapi/docs.py                                                                      29      0   100%
fastapi/openapi/models.py                                                                   276      4    99%
fastapi/openapi/utils.py                                                                    251      0   100%
fastapi/param_functions.py                                                                   24      0   100%
fastapi/params.py                                                                           103      8    92%
fastapi/requests.py                                                                           2      0   100%
fastapi/responses.py                                                                         20      0   100%
fastapi/routing.py                                                                          363     15    96%
fastapi/security/__init__.py                                                                 15      0   100%
fastapi/security/api_key.py                                                                  45      0   100%
fastapi/security/base.py                                                                      4      0   100%
fastapi/security/http.py                                                                     88      0   100%
fastapi/security/oauth2.py                                                                   64      0   100%
fastapi/security/open_id_connect_url.py                                                      19      0   100%
fastapi/security/utils.py                                                                     6      0   100%
fastapi/staticfiles.py                                                                        1      0   100%
fastapi/templating.py                                                                         1      0   100%
fastapi/testclient.py                                                                         1      0   100%
fastapi/types.py                                                                              8      0   100%
fastapi/utils.py                                                                             91     37    59%
fastapi/websockets.py                                                                         3      0   100%
tests/__init__.py                                                                             0      0   100%
tests/main.py                                                                               124      0   100%
tests/test_additional_properties.py                                                          19      0   100%
tests/test_additional_properties_bool.py                                                     29      2    93%
tests/test_additional_response_extra.py                                                      19      0   100%
tests/test_additional_responses_bad.py                                                       11      0   100%
tests/test_additional_responses_custom_model_in_callback.py                                  18      0   100%
tests/test_additional_responses_custom_validationerror.py                                    20      0   100%
tests/test_additional_responses_default_validationerror.py                                   10      0   100%
tests/test_additional_responses_response_class.py                                            22      0   100%
tests/test_additional_responses_router.py                                                    41      0   100%
tests/test_ambiguous_params.py                                                               34      0   100%
tests/test_annotated.py                                                                      60      0   100%
tests/test_application.py                                                                    34      0   100%
tests/test_callable_endpoint.py                                                              14      0   100%
tests/test_compat.py                                                                         44      5    89%
tests/test_computed_fields.py                                                                30      0   100%
tests/test_custom_middleware_exception.py                                                    51      0   100%
tests/test_custom_route_class.py                                                             45      0   100%
tests/test_custom_schema_fields.py                                                           24      2    92%
tests/test_custom_swagger_ui_redirect.py                                                     23      0   100%
tests/test_datastructures.py                                                                 51      0   100%
tests/test_datetime_custom_encoder.py                                                        37     13    65%
tests/test_default_response_class.py                                                        141      0   100%
tests/test_default_response_class_router.py                                                 135      0   100%
tests/test_dependency_cache.py                                                               54      0   100%
tests/test_dependency_class.py                                                               61      0   100%
tests/test_dependency_contextmanager.py                                                     271      0   100%
tests/test_dependency_contextvars.py                                                         26      0   100%
tests/test_dependency_duplicates.py                                                          44      0   100%
tests/test_dependency_normal_exceptions.py                                                   48      0   100%
tests/test_dependency_overrides.py                                                          156      0   100%
tests/test_dependency_security_overrides.py                                                  30      0   100%
tests/test_deprecated_openapi_prefix.py                                                      15      0   100%
tests/test_duplicate_models_openapi.py                                                       23      0   100%
tests/test_empty_router.py                                                                   22      0   100%
tests/test_enforce_once_required_parameter.py                                                27      0   100%
tests/test_exception_handlers.py                                                             37      0   100%
tests/test_extra_routes.py                                                                   64      0   100%
tests/test_filter_pydantic_sub_model/__init__.py                                              0      0   100%
tests/test_filter_pydantic_sub_model/app_pv1.py                                              22     22     0%
tests/test_filter_pydantic_sub_model/test_filter_pydantic_sub_model_pv1.py                   24     12    50%
tests/test_filter_pydantic_sub_model_pv2.py                                                  46      0   100%
tests/test_forms_from_non_typing_sequences.py                                                25      0   100%
